Open,High,Low,Close,Volume,log_returns
92.64359724545314,92.66785697735138,92.41716485464298,92.62742614746094,4835200,0.0005239056257609415
92.25543065702792,92.2796903893105,91.83490806472972,91.89960479736328,4847500,-0.00788854750090196
91.48716561468629,91.62464770613666,91.2283848687498,91.46290588378906,7312000,-0.004763239089822545
91.74596830792451,92.0532747589884,91.70553747003058,91.89153289794922,5885000,0.004675401346169964
92.1341065699782,92.1341065699782,91.6165451567188,91.6246337890625,4375200,-0.0029087278999380024
91.74595320302315,91.85108693784487,91.5437805373754,91.72978210449219,2748100,0.0011469407643543094
91.90769464137168,91.9643027407163,91.76213007593978,91.85916900634766,4028400,0.0014095284328868671
91.94006521271089,92.045192802649,91.86727982750638,91.96432495117188,3085500,0.0011440970251485204
91.97236835525341,92.05323616695973,91.81062656202221,92.02897644042969,2646800,0.0007027591920968272
91.90766898330968,92.0936643278801,91.89149171954455,92.06940460205078,2056700,0.0004392017142359588
92.27970401852605,92.43335723876953,92.14222806874027,92.43335723876953,2804700,0.003945232094738726
92.33625618112816,92.36051590229539,92.27964810846558,92.31199645996094,3185400,-0.0013138170334003497
92.1422035817257,92.15837467806496,91.86724558540395,91.8834228515625,4735800,-0.004653474916919686
92.01281791796717,92.2311678408496,91.96429845502432,92.0775146484375,4140000,0.0021101422022745788
91.98853679268024,92.24731748455702,91.94001734102157,92.06940460205078,4655400,-8.808234669332183e-05
92.16838407234175,92.6470303955513,92.16838407234175,92.52534484863281,4772900,0.004939914868887361
92.46044176394375,92.5983561767839,92.41176754517636,92.52534484863281,5958300,0.0
92.53345449650224,92.53345449650224,92.29007720947266,92.29007720947266,2827000,-0.0025459754778444244
92.33062282927777,92.62268048050096,92.19270843550515,92.55777740478516,3177400,0.002896440242966479
92.84174944995459,92.85797212808991,92.59025151761114,92.66326904296875,3336800,0.0011390892300120624
92.5253546155704,92.67138347678615,92.37932575435465,92.66326904296875,5153500,0.0
92.60648538878942,92.60648538878942,92.33065032958984,92.33065032958984,2742400,-0.0035960000516487302
92.53344221797347,92.55777932449718,92.41986492786411,92.51721954345703,1984400,0.0020186251250688893
92.64703935034471,92.75250842053326,92.4766733786933,92.57402801513672,3366600,0.0006138428933060269
92.37119997941606,92.37119997941606,92.00613096594877,92.06291961669922,6524400,-0.005536375146038126
91.82762044351566,91.83572868417698,90.91899614021582,90.93521881103516,8498000,-0.012324880355407682
90.94335727290967,91.4787983938879,90.94335727290967,91.438232421875,6065900,0.005516317018589863
91.36523990836342,91.40579969922776,91.12185640517907,91.34089660644531,2652400,-0.0010650649792273738
91.25167572312345,91.2922355198249,90.8460406191061,90.8541488647461,4524200,-0.005343162855708528
90.17266862587114,90.47283458752047,90.11587996911322,90.2375717163086,5033900,-0.006809582779771658
90.21324189543185,90.38361408066297,89.89684701914601,90.34304809570312,7176400,0.0011681917084943858
89.63723534936868,90.63510033731002,89.63723534936868,90.48095703125,5420300,0.0015253390963105545
89.83195252608786,89.9942040912932,88.62315546415638,88.86653900146484,9819200,-0.018003726537585214
89.30459642931902,89.33704796964017,88.86650991923116,89.26403045654297,8060000,0.0044629298165763795
89.70433637527802,89.97291371994808,89.58225519958194,89.76130676269531,5013500,0.005555387776963625
89.67992307999029,89.94849422043892,89.57411649470731,89.70433807373047,5862300,-0.0006348701550121405
89.50088637583082,89.50088637583082,89.15906398809263,89.16719818115234,5171300,-0.006005891361020936
89.15904886491941,89.3136792278253,88.36145721951029,88.40215301513672,8697800,-0.008616913838444899
88.51610110592124,88.51610110592124,88.06033175260951,88.38587951660156,12208400,-0.0001841018121879407
87.93827890972393,87.93827890972393,86.83955415352082,86.8558349609375,9895300,-0.017462548127713775
87.77548764736493,88.09289503811961,87.75107264950806,87.88129425048828,8196200,0.01173730010083544
88.00338164642444,88.79283313806717,88.00338164642444,88.7358627319336,5711600,0.009677147622916629
89.34624294515673,89.5090199335187,88.88233939461276,89.39507293701172,6994400,0.007401445593614728
88.62191257148822,88.63005297416537,88.13359396909469,88.2719497680664,5986400,-0.012643180627931216
88.5812150810077,88.86607328551307,88.34519929163527,88.84979248046875,3879300,0.0065248315099799
89.20789524286025,89.41950224224546,89.03698404657872,89.15906524658203,4319300,0.003474805481583791
88.78466698796541,90.46937610074386,88.45098505146386,89.90780639648438,9837300,0.008362747465927477
88.74396684279593,89.1915895052692,88.48352991993508,88.68699645996094,7538500,-0.013671494713695331
88.75213016958719,89.0695375572762,88.51610817707092,88.94745635986328,4752000,0.0029325401961850044
88.70329552581738,89.31369531431466,88.60563553361477,89.14278411865234,4615900,0.002193582720619481
89.19974855538007,89.19974855538007,88.80095579215539,88.82537078857422,4658400,-0.003567083861826462
89.06955001753397,89.18349082857691,88.79283218406646,89.02071380615234,4270500,0.0021967657773308107
88.9962498733494,89.02880525993477,88.62187224157532,88.89044952392578,3860500,-0.001464374725750523
88.81722807383262,88.92303466796875,88.6544572957408,88.92303466796875,1997500,0.0003665092617223516
88.70327784524999,88.87418900684584,88.37773011441224,88.45912170410156,7379700,-0.0052306729275838175
88.09287616322509,88.51609006642475,87.99521619272237,88.49980926513672,6058900,0.0004598531594795058
88.36146533186708,88.90675427120654,88.36146533186708,88.61376190185547,8844400,0.001286774939846737
89.02036110280308,89.36327946546133,88.88156170304376,89.31429290771484,7724400,0.007874358277425374
88.84075769629884,89.20817565917969,88.84075769629884,89.20817565917969,3134600,-0.0011888392748018873
89.38777988124565,89.6082256225598,89.23264747451792,89.51024627685547,3791300,0.003380411510517517
